epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.983,1.62286,5.63683,1.35734,0.00288,0.86441,0.00581,0.00328,1.14986,4.05547,0.95219,0.00016,0.00016,0.00016
2,215.81,1.13341,2.92778,0.94638,0.00316,0.94915,0.00954,0.00535,1.03338,3.83652,0.90579,0.00030634,0.00030634,0.00030634
3,274.316,1.17422,2.27321,0.94852,0.00316,0.94915,0.00906,0.0058,1.00953,3.83839,0.89033,0.00041704,0.00041704,0.00041704
4,328.866,1.11026,2.11726,0.95693,0.00316,0.94915,0.00817,0.0054,0.96958,3.82941,0.89618,0.0004921,0.0004921,0.0004921
5,389.624,1.05778,1.95554,0.97716,0.00316,0.94915,0.00815,0.00551,0.88669,3.70148,0.89675,0.00053152,0.00053152,0.00053152
6,448.022,1.03308,1.82265,0.92533,0.00316,0.94915,0.29878,0.20455,0.93051,3.43233,0.89805,0.0005353,0.0005353,0.0005353
7,504.629,0.98159,1.73721,0.93355,0.00316,0.94915,0.28648,0.1946,0.8837,3.07987,0.90038,0.00050344,0.00050344,0.00050344
8,560.966,0.94779,1.73085,0.9122,1,0.15994,0.75822,0.54145,0.92126,2.87392,0.89444,0.00043594,0.00043594,0.00043594
9,617.319,0.92267,1.72897,0.90112,1,0.27194,0.90841,0.6844,0.85924,2.6022,0.88864,0.0003328,0.0003328,0.0003328
10,673.721,0.92089,1.54236,0.89341,1,0.70959,0.94412,0.71247,0.85448,2.32161,0.89046,0.00019402,0.00019402,0.00019402
